	SCR_0pt5mM_A	SCR_0pt5mM_B	SCR_4mM_A	SCR_4mM_B	SH1_0pt5mM_A	SH1_0pt5mM_B	SH1_4mM_A	SH1_4mM_B	SH2_0pt5mM_A	SH2_0pt5mM_B	SH2_4mM_A	SH2_4mM_B
ENSMUSG00000000134.17|Tfe3	5.82190620562382	5.85349211769136	5.83899496717575	5.79685571740423	5.69767635579676	5.78042976044002	5.56989116241938	5.62146868503752	6.01873478132856	6.03981962712636	5.86778728276762	5.89279178127151
ENSMUSG00000000148.17|Brat1	4.30359738871874	4.14025874589192	4.12904157856897	4.0964226441734	4.57134269972763	4.46020284473648	4.45770228247449	4.59793910417488	4.25798999099015	4.23683001614147	4.25849401637432	4.13595875992575
ENSMUSG00000000149.10|Gna12	5.78217771919383	5.60648789627454	5.54928599274061	5.59270413793313	5.34866842887986	5.32102717281966	5.32834029046836	5.37474325311113	5.38611409933332	5.40276967431548	5.32906158803515	5.28481999011432
ENSMUSG00000000154.16|Slc22a18	3.51457860387961	3.19660025434515	3.00370953343033	3.21861978573502	4.86080762252964	4.81861623333021	4.80454050142245	4.86980475643246	3.58697464193528	3.92079987248668	3.13147482544969	3.19871653338532
ENSMUSG00000000159.16|Igsf5	2.52049922732165	2.61483985848314	2.11973036383867	2.50282672039676	3.53294185267768	3.74174749886821	3.95279431203915	3.91477166961367	2.33678122620854	2.62393915714724	2.33149097844034	2.33243763362072
ENSMUSG00000000167.14|Pih1d2	1.4476513001562	0.979945367845964	0.979945367845964	1.05056812750304	0.97170982132473	0.537457727150612	1.0233784604831	1.00630215407016	1.73581684096262	1.75461751100135	1.64083541957381	1.51573419220425
ENSMUSG00000000168.9|Dlat	6.1729032006467	6.27079592166856	6.09189637349089	6.09189637349089	5.89529525459106	5.96298174761983	5.76822840197658	5.75774727941703	5.80715442259409	5.84106818334841	5.88935253475257	5.96647637643673
ENSMUSG00000000171.5|Sdhd	6.75310821404432	6.70318490599776	6.48330203969094	6.53166661720258	7.13096743285224	7.20428646598912	7.19008403810259	7.19642592888561	6.9341438345133	7.00858533686876	6.81888133582279	6.82711436235297
ENSMUSG00000000184.12|Ccnd2	8.64632123292714	8.67677044496107	8.16762929444368	8.13754046799704	8.73107981746129	8.60633384921798	8.43837804730807	8.30356354484091	8.33692575678767	8.38698028781825	8.10168986720603	8.13258095165535
ENSMUSG00000000194.13|Gpr107	6.09459768113169	6.0313104091919	6.07801098726212	6.18249204942793	6.25734995422434	6.2366581032451	6.2107767801376	6.34850539992729	6.28603300083202	6.25947330197639	6.31148130645098	6.21973167866185
ENSMUSG00000000204.16|Slfn4	2.930710838469	2.87719286966417	2.75892735233861	3.06053132484242	-0.1208666244702	0.500874089244986	-0.570573920385072	0.0443545230023457	0.537457727150612	0.347890375403488	0.412615446538462	0.97170982132473
ENSMUSG00000000223.13|Drp2	0.238910085646369	0.660203602175998	-0.203078540942425	0.574386086403158	-1.21536994016232	-1.11134065014149	-1.51510993622948	-1.54722643696606	-0.813971732803865	-1.89775451864074	-0.603978894593414	-0.766470472617798
ENSMUSG00000000244.17|Tspan32	1.11398519802747	0.807971222365608	1.65524968148278	1.53390626350047	3.81647109487313	3.81394285784087	4.22851275195855	4.13022653823074	1.73581684096262	1.75461751100135	1.20751932063382	1.67945344715119
ENSMUSG00000000248.16|Clec2g	-1.53519394452146	-1.24892284603059	-0.62993688582595	-1.04780662090516	-0.226041724707042	-0.864724119785954	-0.841614159110528	-0.226041724707042	0.882102523860626	0.771863511285548	0.412615446538462	0.69672459331911
ENSMUSG00000000266.11|Mid2	3.84147602168199	3.88478396399863	4.36367114871414	4.20310360469171	5.05377946413981	4.95702005138165	5.58998538888151	5.46466740723089	5.00846725759677	4.87250626777432	4.86080762252964	4.95161384238147
