	SCR_0pt5mM_A	SCR_0pt5mM_B	SCR_4mM_A	SCR_4mM_B
ENSMUSG00000071064.13|Zfp827	5.22833853174002	5.1242436590117	5.32615650688993	5.36164353651529
ENSMUSG00000071072.12|Ptges3	7.81614753333707	7.90073687417394	7.88565161988589	7.77951601494089
ENSMUSG00000071073.5|Lrrc73	1.21215735012664	1.18702806040037	0.925416651995429	0.894704020407235
ENSMUSG00000071074.9|Yipf3	5.92464020578357	5.86418427447471	5.81807157826476	5.8833444628688
ENSMUSG00000071076.6|Jund	5.421748780269	5.91816759921455	5.53575710685026	5.31463059053162
ENSMUSG00000071078.6|Nr2c2ap	4.51681110728876	4.36325504439113	4.48515701740452	4.49478942850936
ENSMUSG00000071103.9|1700029J07Rik	0.403226923204305	0.678960438311194	0.302567613660521	-0.146867196874781
ENSMUSG00000071112.12|Spx	-0.485313399690327	0.0194638745243064	0.230959017493788	0.894704020407235
ENSMUSG00000071141.7|Rpl36a-ps3	1.41176741405481	1.03154599558988	1.62834694982237	1.05521951982415
ENSMUSG00000071172.13|Srsf3	8.10894912491999	8.15442393902053	8.17374053768821	8.13352792981718
ENSMUSG00000071176.10|Arhgef10	4.56052143217023	4.45495877707626	4.49799507082185	4.4025349989446
ENSMUSG00000071180.5|Smim15	6.59190307436559	6.71025804334314	6.47191590673366	6.39208431342863
ENSMUSG00000071203.6|Naip5	3.97605914122118	4.0191198749087	4.15017335848049	4.01464876979322
ENSMUSG00000071252.6|2210408I21Rik	1.24276668634909	1.7362222337426	1.24831562287764	1.14276909744483
ENSMUSG00000071253.8|Slc25a16	4.37159291466709	4.38445050284993	4.40795024354544	4.29651062194835
ENSMUSG00000071256.4|Zfp213	3.94750323508951	4.10778527503986	4.07783621625509	4.1662282150708
ENSMUSG00000071266.13|Zfp946	5.0151165105665	5.22080484811721	5.09604716470936	4.9410049520027
ENSMUSG00000071267.11|Zfp942	5.23659528771876	5.43917383348071	5.50462596118189	5.44574061550892
ENSMUSG00000071281.12|Zfp65	4.15988232908711	4.29613647890935	4.21103386292181	4.20727149425478
ENSMUSG00000071291.10|Zfp58	3.12607649791173	3.23390878255926	3.12044991614031	3.31969091445943
ENSMUSG00000071302.10|2610044O15Rik8	4.27482772688061	4.25687429722578	4.00482539979158	3.95028333268154
ENSMUSG00000071303.4|Rps8-ps1	1.37050213601041	1.5958893196425	1.39264894814341	1.57227044301056
ENSMUSG00000071335.4|Mfsd4b3	-0.0842417853415132	-0.70129816568643	0.166507874901107	0.0333376526722322
ENSMUSG00000071337.11|Tia1	6.72126331857296	6.86421350448796	6.77999209994597	6.70683298169023
ENSMUSG00000071343.2|Gm10327	0.0753336284564237	-0.196680370054072	0.894704020407235	0.369838960203867
ENSMUSG00000071350.12|Setdb2	3.70167145736512	3.90032524400519	3.57109243298547	3.50329059642355
ENSMUSG00000071359.13|Tbpl1	5.91256523625714	5.93858536366655	5.85427746738846	5.81456162086548
ENSMUSG00000071369.11|Map3k5	5.7107855636742	5.78846643851677	6.06470293521676	5.98631154086484
ENSMUSG00000071379.2|Hpcal1	6.35682421677551	6.26083859579568	6.38357186222318	6.38886987534231
ENSMUSG00000071415.6|Rpl23	10.3087712557275	10.22966242423	10.1193197721685	10.0790703569008
ENSMUSG00000071419.7|Rps15-ps2	1.21215735012664	1.266597217044	1.69270667805866	0.925416651995429
ENSMUSG00000071451.10|Psmg4	2.79992225653695	2.87835361417089	2.69928136355527	2.78535752799895
ENSMUSG00000071454.13|Dtnb	4.78201327682024	4.62128810503418	4.81145088348288	4.90976505676376
