	SCR_0pt5mM_A	SCR_0pt5mM_B	SH2_0pt5mM_A	SH2_0pt5mM_B
ENSMUSG00000000001.4|Gnai3	8.18563996843234	8.30735438409153	8.35118408699509	8.35776454243823
ENSMUSG00000000028.15|Cdc45	5.31208342539638	5.25621105045731	5.2787547015186	5.24862291967324
ENSMUSG00000000056.7|Narf	4.74116113554961	4.91240197815603	4.33899184877168	4.54159520959614
ENSMUSG00000000058.6|Cav2	8.32152977161044	8.5184648706794	8.34472255341072	8.26985652618564
ENSMUSG00000000078.7|Klf6	8.88983497908362	8.96264773025872	9.16833379100907	9.00303621246828
ENSMUSG00000000085.16|Scmh1	3.62824602850157	3.62766051863622	3.42137612002404	3.41166878006736
ENSMUSG00000000088.7|Cox5a	6.21594477926264	6.40395646812918	5.81150528238879	5.82373138945727
ENSMUSG00000000126.11|Wnt9a	-0.280350338196702	-0.165170795947266	0.974200222324271	0.30813377347895
ENSMUSG00000000127.15|Fer	5.36599723874193	5.43541352630247	4.68532424648511	4.66159087714026
ENSMUSG00000000131.15|Xpo6	6.32462573508985	6.25812908663862	6.43478675070888	6.32244253712235
ENSMUSG00000000134.17|Tfe3	5.84546471020544	5.87918092194628	6.04781097200853	6.06991586309977
ENSMUSG00000000148.17|Brat1	4.29408427910768	4.12454199280807	4.24428228375448	4.22187232781319
ENSMUSG00000000149.10|Gna12	5.80621144709358	5.63106392239799	5.40425776869711	5.42050954593609
ENSMUSG00000000154.16|Slc22a18	3.47573240596595	3.13554359928595	3.55575931362605	3.90207527887962
ENSMUSG00000000159.16|Igsf5	2.4383204642161	2.53041537039433	2.24812493966738	2.53785167929671
ENSMUSG00000000167.14|Pih1d2	1.34904711056609	0.881062128243239	1.63665525034501	1.65567745714244
ENSMUSG00000000168.9|Dlat	6.20334174225158	6.29847188647004	5.83156688356956	5.86598876872605
ENSMUSG00000000171.5|Sdhd	6.78659709347054	6.73555872495514	6.97203307521081	7.04650658197087
ENSMUSG00000000184.12|Ccnd2	8.65544204272039	8.68163322924883	8.35643378107574	8.40984392796499
