symbol	Gcn1_SCR_0pt5mM_A	Gcn1_SCR_0pt5mM_B	Gcn1_SH2_0pt5mM_A	Gcn1_SH2_0pt5mM_B
ENSMUSG00000000959.7|Oxa1l	950	1049	916	906
ENSMUSG00000000976.13|Heatr6	1020	1189	961	980
ENSMUSG00000001014.6|Icam4	45	39	69	72
ENSMUSG00000001016.12|Ilf2	2063	2206	1885	2155
ENSMUSG00000001017.15|Chtop	4091	4689	5576	5606
ENSMUSG00000001018.15|Snapin	650	830	438	619
ENSMUSG00000001020.8|S100a4	2477	2687	5384	6904
ENSMUSG00000001021.12|S100a3	101	88	136	138
ENSMUSG00000001025.8|S100a6	35556	37871	53037	58124
ENSMUSG00000001034.17|Mapk7	943	1005	869	1032
ENSMUSG00000001036.17|Epn2	3891	4123	4824	5230
ENSMUSG00000001039.12|B9d1	187	217	232	323
ENSMUSG00000001052.15|Sec24b	2496	2839	2644	2813
ENSMUSG00000001053.15|N4bp3	266	330	291	313
ENSMUSG00000001054.9|Rmnd5b	559	577	451	597
ENSMUSG00000001056.3|Nhp2	2072	2177	2322	2618
ENSMUSG00000001062.18|Vps9d1	371	401	260	317
ENSMUSG00000001065.15|Zfp276	577	659	501	570
ENSMUSG00000001082.12|Mfsd10	1119	1152	1417	1528
ENSMUSG00000001089.14|Luzp1	2199	2500	2155	2263
ENSMUSG00000001098.15|Kctd10	4953	5617	4917	5428
ENSMUSG00000001100.10|Poldip2	1939	2184	1936	2145
ENSMUSG00000001105.15|Ift20	511	591	572	685
ENSMUSG00000001119.7|Col6a1	743	718	435	533
ENSMUSG00000001120.15|Pcbp3	371	390	444	477
ENSMUSG00000001123.15|Lgals9	1809	1967	2404	3170
ENSMUSG00000001127.12|Araf	1506	1591	1771	1923
ENSMUSG00000001128.7|Cfp	32	32	26	28
ENSMUSG00000001131.11|Timp1	752	735	645	578
ENSMUSG00000001134.9|Uxt	254	278	238	285
ENSMUSG00000001138.13|Cnnm3	407	435	297	312
ENSMUSG00000001143.13|Lman2l	745	813	593	582
ENSMUSG00000001150.7|Mcm3ap	1134	1211	1031	1131
ENSMUSG00000001151.10|Pcnt	747	914	805	826
ENSMUSG00000001156.9|Mxd1	622	720	1334	1219
ENSMUSG00000001157.13|Gmcl1	814	993	847	1030
ENSMUSG00000001158.13|Snrnp27	1246	1479	1233	1280
ENSMUSG00000001173.15|Ocrl	863	904	823	969
ENSMUSG00000001175.14|Calm1	13147	15567	14777	16056
ENSMUSG00000001211.15|Agpat3	813	898	819	998
ENSMUSG00000001227.12|Sema6b	265	291	276	342
ENSMUSG00000001228.14|Uhrf1	3729	3992	5195	5077
ENSMUSG00000001229.9|Dpp9	2555	2625	2950	3042
ENSMUSG00000001247.16|Lsr	1495	1612	1457	1573
ENSMUSG00000001248.15|Gramd1a	532	589	555	650
ENSMUSG00000001270.9|Ckb	35	41	20	21
ENSMUSG00000001280.13|Sp1	3779	4385	5276	5350
ENSMUSG00000001281.10|Itgb7	2828	2981	1116	1284
ENSMUSG00000001285.12|Myg1	988	997	953	1077
ENSMUSG00000001288.15|Rarg	1818	1918	1589	1631
ENSMUSG00000001289.12|Pfdn5	1608	1673	2097	2487
ENSMUSG00000001300.16|Efnb2	4883	5907	4386	4581
ENSMUSG00000001305.5|Rrp15	1098	1267	1110	1126
ENSMUSG00000001313.12|Rnd2	207	203	385	436
ENSMUSG00000001323.17|Srr	423	533	390	506
ENSMUSG00000001348.15|Acp5	419	412	315	421
ENSMUSG00000001366.14|Fbxo9	147	215	123	157
ENSMUSG00000001376.17|Vps50	2634	3078	2337	2474
ENSMUSG00000001380.7|Hars	2411	2625	1846	2034
