symbol	Gcn1_SCR_0pt5mM_A	Gcn1_SCR_0pt5mM_B	Gcn1_SCR_4mM_A	Gcn1_SCR_4mM_B
ENSMUSG00000000959.7|Oxa1l	950	1049	1112	1275
ENSMUSG00000000976.13|Heatr6	1020	1189	1003	1132
ENSMUSG00000001014.6|Icam4	45	39	49	33
ENSMUSG00000001016.12|Ilf2	2063	2206	1716	2018
ENSMUSG00000001017.15|Chtop	4091	4689	4704	5319
ENSMUSG00000001018.15|Snapin	650	830	798	792
ENSMUSG00000001020.8|S100a4	2477	2687	2886	3244
ENSMUSG00000001021.12|S100a3	101	88	115	134
ENSMUSG00000001025.8|S100a6	35556	37871	36074	39470
ENSMUSG00000001034.17|Mapk7	943	1005	892	1069
ENSMUSG00000001036.17|Epn2	3891	4123	4965	5462
ENSMUSG00000001039.12|B9d1	187	217	242	269
ENSMUSG00000001052.15|Sec24b	2496	2839	2779	2952
ENSMUSG00000001053.15|N4bp3	266	330	239	261
ENSMUSG00000001054.9|Rmnd5b	559	577	530	657
ENSMUSG00000001056.3|Nhp2	2072	2177	1835	2124
ENSMUSG00000001062.18|Vps9d1	371	401	384	429
ENSMUSG00000001065.15|Zfp276	577	659	450	587
ENSMUSG00000001082.12|Mfsd10	1119	1152	1060	1356
ENSMUSG00000001089.14|Luzp1	2199	2500	2556	2870
ENSMUSG00000001098.15|Kctd10	4953	5617	5142	5678
ENSMUSG00000001100.10|Poldip2	1939	2184	2063	2256
ENSMUSG00000001105.15|Ift20	511	591	510	474
ENSMUSG00000001119.7|Col6a1	743	718	574	641
ENSMUSG00000001120.15|Pcbp3	371	390	403	528
ENSMUSG00000001123.15|Lgals9	1809	1967	1875	1973
ENSMUSG00000001127.12|Araf	1506	1591	1570	1876
ENSMUSG00000001128.7|Cfp	32	32	23	22
ENSMUSG00000001131.11|Timp1	752	735	694	865
ENSMUSG00000001134.9|Uxt	254	278	321	342
ENSMUSG00000001138.13|Cnnm3	407	435	372	401
ENSMUSG00000001143.13|Lman2l	745	813	778	932
ENSMUSG00000001150.7|Mcm3ap	1134	1211	1055	1257
ENSMUSG00000001151.10|Pcnt	747	914	780	925
ENSMUSG00000001156.9|Mxd1	622	720	636	761
ENSMUSG00000001157.13|Gmcl1	814	993	805	945
ENSMUSG00000001158.13|Snrnp27	1246	1479	1370	1483
ENSMUSG00000001166.17|Oas1c	26	20	37	37
ENSMUSG00000001173.15|Ocrl	863	904	915	948
ENSMUSG00000001175.14|Calm1	13147	15567	12945	13968
ENSMUSG00000001211.15|Agpat3	813	898	772	856
ENSMUSG00000001227.12|Sema6b	265	291	294	323
ENSMUSG00000001228.14|Uhrf1	3729	3992	2150	2532
ENSMUSG00000001229.9|Dpp9	2555	2625	2305	2615
ENSMUSG00000001247.16|Lsr	1495	1612	1658	1899
ENSMUSG00000001248.15|Gramd1a	532	589	343	454
ENSMUSG00000001270.9|Ckb	35	41	36	32
ENSMUSG00000001280.13|Sp1	3779	4385	4806	5276
ENSMUSG00000001281.10|Itgb7	2828	2981	2454	3047
ENSMUSG00000001285.12|Myg1	988	997	870	1122
ENSMUSG00000001288.15|Rarg	1818	1918	2016	2179
ENSMUSG00000001289.12|Pfdn5	1608	1673	1450	1615
ENSMUSG00000001300.16|Efnb2	4883	5907	3297	3881
ENSMUSG00000001305.5|Rrp15	1098	1267	1436	1548
ENSMUSG00000001313.12|Rnd2	207	203	212	238
ENSMUSG00000001323.17|Srr	423	533	514	588
ENSMUSG00000001348.15|Acp5	419	412	388	465
ENSMUSG00000001366.14|Fbxo9	147	215	134	153
ENSMUSG00000001376.17|Vps50	2634	3078	2842	3129
ENSMUSG00000001380.7|Hars	2411	2625	2308	2664
ENSMUSG00000001383.9|Zmat2	1081	1216	1168	1320
ENSMUSG00000001403.13|Ube2c	2181	2906	2544	2927
ENSMUSG00000001415.10|Smg5	3457	3723	3896	4400
ENSMUSG00000001416.13|Cct3	7856	8612	8281	9185
ENSMUSG00000001418.13|Glmp	3111	3139	2303	2755
ENSMUSG00000001419.17|Mef2d	3225	3381	3045	3447
ENSMUSG00000001420.13|Tmem79	89	98	108	97
ENSMUSG00000001424.14|Snd1	6604	6661	8837	10348
ENSMUSG00000001435.15|Col18a1	5506	5520	8409	9575
ENSMUSG00000001436.15|Slc19a1	809	824	954	1167
ENSMUSG00000001440.5|Kpnb1	23628	26063	24865	28171
ENSMUSG00000001441.13|Npepps	3427	3828	3218	3510
ENSMUSG00000001445.10|Mrpl10	2058	2092	2148	2372
ENSMUSG00000001467.5|Cyp51	1709	2101	2159	2548
ENSMUSG00000001472.17|Tcf25	5700	6227	6266	6711
ENSMUSG00000001473.7|Tubb6	2547	2462	2212	2710
ENSMUSG00000001482.15|Def8	802	873	933	1041
ENSMUSG00000001497.18|Pax9	1979	2112	3540	3594
ENSMUSG00000001504.10|Irx2	64	78	75	83
ENSMUSG00000001507.16|Itga3	21536	22119	20153	24636
ENSMUSG00000001517.14|Foxm1	2978	3175	2548	3213
ENSMUSG00000001518.12|Itfg2	1152	1203	1836	2172
ENSMUSG00000001520.12|Nrip2	147	178	203	178
ENSMUSG00000001521.12|Tulp3	1264	1326	1141	1259
ENSMUSG00000001524.14|Gtf2h4	739	759	665	798
ENSMUSG00000001525.10|Tubb5	22589	23545	17452	19838
ENSMUSG00000001542.7|Ell2	988	1108	1030	1124
ENSMUSG00000001552.14|Jup	3095	3367	2668	3086
ENSMUSG00000001555.10|Fkbp10	2124	2232	2296	2742
ENSMUSG00000001569.10|Nom1	1244	1499	1304	1446
ENSMUSG00000001576.15|Ergic1	6281	6869	5996	6738
ENSMUSG00000001588.12|Acap1	23	29	31	37
ENSMUSG00000001604.14|Tcea3	40	44	38	42
ENSMUSG00000001622.15|Csn3	698	749	561	763
ENSMUSG00000001627.12|Ifrd1	4248	5268	4753	5141
ENSMUSG00000001630.13|Stk38l	1142	1345	1287	1406
ENSMUSG00000001632.16|Brpf1	1432	1515	1280	1530
ENSMUSG00000001642.18|Akr1b3	3500	3576	4012	4683
ENSMUSG00000001663.10|Gstt1	606	635	792	810
ENSMUSG00000001665.11|Gstt3	334	398	369	396
ENSMUSG00000001666.8|Ddt	490	453	511	558
ENSMUSG00000001674.11|Ddx18	3692	4365	4403	5045
ENSMUSG00000001687.15|Ubl3	2281	2628	2135	2236
ENSMUSG00000001700.10|Gramd3	170	208	195	208
ENSMUSG00000001707.8|Eef1e1	1304	1468	1427	1529
ENSMUSG00000001729.14|Akt1	3695	3835	3171	3613
ENSMUSG00000001750.16|Tcirg1	870	882	972	1073
ENSMUSG00000001751.9|Naglu	736	811	761	954
ENSMUSG00000001755.12|Coasy	654	653	651	743
ENSMUSG00000001761.7|Smo	789	858	626	781
ENSMUSG00000001763.14|Tspan33	32	40	31	43
ENSMUSG00000001767.5|Crnkl1	886	1000	882	965
ENSMUSG00000001768.16|Rin2	614	708	703	665
ENSMUSG00000001774.8|Chordc1	1919	2383	2246	2392
ENSMUSG00000001783.3|Rtcb	2790	2878	3053	3474
ENSMUSG00000001785.13|Pwp1	1724	1876	2066	2313
ENSMUSG00000001786.14|Fbxo7	237	267	235	334
ENSMUSG00000001794.13|Capns1	5016	4915	4766	5489
ENSMUSG00000001829.17|Clpb	922	1046	1162	1341
ENSMUSG00000001833.17|Sept7	5166	6451	5365	5717
ENSMUSG00000001844.10|Zdhhc4	259	259	232	282
ENSMUSG00000001847.14|Rac1	8257	9184	8567	9760
ENSMUSG00000001855.15|Nup214	1753	1908	1538	1825
ENSMUSG00000001864.13|Aif1l	233	246	172	193
ENSMUSG00000001870.16|Ltbp1	3629	3831	4489	5566
ENSMUSG00000001891.16|Ugp2	1017	1353	1223	1280
ENSMUSG00000001909.16|Trmt1	2248	2317	2095	2386
ENSMUSG00000001910.4|Nacc1	3342	3139	2673	3195
ENSMUSG00000001911.16|Nfix	1154	1370	1238	1307
ENSMUSG00000001918.17|Slc1a5	4325	4808	5095	6335
ENSMUSG00000001924.15|Uba1	12550	12588	13768	15796
ENSMUSG00000001942.8|Siae	416	438	398	457
ENSMUSG00000001946.14|Esam	64	44	41	51
ENSMUSG00000001948.10|Spa17	33	30	49	42
ENSMUSG00000001962.8|Fam50a	757	787	647	758
ENSMUSG00000001964.14|Emd	1107	1270	1418	1548
ENSMUSG00000001983.7|Taco1	301	334	325	351
ENSMUSG00000001995.9|Sipa1l2	209	216	214	283
ENSMUSG00000001998.15|Ap4e1	602	695	704	806
ENSMUSG00000001999.15|Blvra	362	438	336	346
ENSMUSG00000002006.12|Pdzd4	33	29	31	39
ENSMUSG00000002010.17|Idh3g	1665	1646	2064	2315
ENSMUSG00000002014.12|Ssr4	1472	1615	1927	2201
ENSMUSG00000002015.5|Bcap31	2609	3052	2488	3079
ENSMUSG00000002017.10|Fam98a	1944	2193	1962	2252
ENSMUSG00000002020.15|Ltbp2	2425	2417	3660	4162
ENSMUSG00000002028.13|Kmt2a	2614	2890	2421	2679
ENSMUSG00000002031.12|Ift46	1331	1307	1102	1241
ENSMUSG00000002032.17|Tmem25	31	49	41	54
ENSMUSG00000002043.17|Trappc6a	529	554	470	499
ENSMUSG00000002052.6|Supt6	5348	5387	4809	5813
ENSMUSG00000002055.9|Spag5	1347	1471	1422	1601
ENSMUSG00000002057.4|Foxn1	69	69	41	44
ENSMUSG00000002058.13|Unc119	509	496	421	512
ENSMUSG00000002059.18|Rab34	1719	1994	1428	1650
ENSMUSG00000002064.10|Sdf2	866	881	850	984
ENSMUSG00000002068.16|Ccne1	396	381	158	215
ENSMUSG00000002076.12|Hsf2bp	28	18	52	58
ENSMUSG00000002083.13|Bbc3	179	294	248	268
ENSMUSG00000002102.15|Psmc3	2831	3030	2697	2958
ENSMUSG00000002103.15|Acp2	1000	1077	1043	1264
ENSMUSG00000002105.15|Slc39a13	436	479	385	436
ENSMUSG00000002107.18|Celf2	3348	4038	3288	3542
ENSMUSG00000002108.10|Nr1h3	184	188	202	209
ENSMUSG00000002109.14|Ddb2	319	326	287	282
ENSMUSG00000002129.11|Sf3a1	2121	2355	2078	2488
ENSMUSG00000002147.18|Stat6	2046	2216	2138	2298
ENSMUSG00000002205.16|Vrk3	501	493	476	495
ENSMUSG00000002210.11|Smg9	618	592	820	958
ENSMUSG00000002221.11|Paxip1	962	958	758	875
ENSMUSG00000002222.14|Rmnd5a	3423	3919	4309	4655
ENSMUSG00000002227.15|Mov10	939	929	1055	1141
ENSMUSG00000002228.7|Ppm1j	267	257	318	334
ENSMUSG00000002233.13|Rhoc	4700	4898	5146	5576
ENSMUSG00000002249.21|Tead3	276	308	199	227
ENSMUSG00000002250.16|Ppard	1022	1094	935	980
ENSMUSG00000002257.8|Def6	131	110	115	142
ENSMUSG00000002274.13|Metrn	592	691	495	589
ENSMUSG00000002279.19|Lmf1	494	538	604	702
ENSMUSG00000002280.11|Narfl	717	792	704	800
ENSMUSG00000002289.16|Angptl4	1492	1717	1309	1596
ENSMUSG00000002297.16|Dbf4	2217	2679	2333	2585
ENSMUSG00000002307.16|Daxx	1002	1083	888	949
ENSMUSG00000002308.16|Cd320	516	517	498	480
ENSMUSG00000002319.16|Ipo4	3275	3207	3352	4012
ENSMUSG00000002320.15|Tm9sf1	1303	1397	1144	1389
ENSMUSG00000002325.15|Irf9	394	425	467	562
ENSMUSG00000002326.6|Gmpr2	595	645	633	697
ENSMUSG00000002329.7|Mdp1	403	489	526	589
ENSMUSG00000002332.16|Dhrs1	1333	1407	1319	1485
ENSMUSG00000002342.17|Tmem161a	1363	1355	1344	1671
ENSMUSG00000002343.11|Armc6	356	343	387	406
ENSMUSG00000002345.18|Borcs8	337	336	307	320
ENSMUSG00000002346.16|Slc25a42	138	147	126	127
ENSMUSG00000002365.10|Snx9	2246	2492	2716	2993
ENSMUSG00000002372.9|Ranbp3	2227	2334	2072	2426
ENSMUSG00000002379.7|Ndufa11	1028	934	981	1076
ENSMUSG00000002393.14|Nr2f6	637	781	480	527
ENSMUSG00000002395.14|Use1	996	913	1064	1182
ENSMUSG00000002396.8|Ocel1	46	41	47	50
ENSMUSG00000002409.18|Dyrk1b	135	158	128	139
ENSMUSG00000002413.15|Braf	934	1138	1181	1397
ENSMUSG00000002416.13|Ndufb2	534	744	545	632
ENSMUSG00000002428.12|Hltf	900	1127	907	942
ENSMUSG00000002455.14|Prpf6	3735	3673	3427	3793
ENSMUSG00000002458.13|Rgs19	1287	1483	1378	1587
ENSMUSG00000002459.17|Rgs20	76	81	58	60
ENSMUSG00000002477.5|Snrpd1	1607	1794	1579	1792
ENSMUSG00000002486.15|Tchp	318	351	362	357
ENSMUSG00000002489.16|Tiam1	212	265	229	251
ENSMUSG00000002496.10|Tsc2	3338	3430	2796	3125
ENSMUSG00000002504.15|Slc9a3r2	811	900	597	657
ENSMUSG00000002524.17|Puf60	3790	3871	4441	4933
ENSMUSG00000002546.16|Golga2	1724	1829	1783	1990
ENSMUSG00000002550.16|Uck1	1039	1159	982	1170
ENSMUSG00000002565.16|Scin	26	29	23	23
ENSMUSG00000002580.7|Mien1	511	561	575	572
ENSMUSG00000002602.16|Axl	17515	18120	14329	17865
ENSMUSG00000002603.15|Tgfb1	1856	2321	1458	1670
ENSMUSG00000002608.8|Ccdc97	952	1097	926	1103
ENSMUSG00000002617.14|Zfp40	187	240	204	202
ENSMUSG00000002625.10|Akap8l	1471	1718	1404	1468
ENSMUSG00000002635.11|Pdcd2l	290	345	304	296
ENSMUSG00000002658.9|Gtf2f1	2235	2280	2050	2343
ENSMUSG00000002660.8|Clpp	1074	1025	1074	1271
ENSMUSG00000002661.14|Alkbh7	108	175	87	106
ENSMUSG00000002679.14|Med6	561	626	575	663
ENSMUSG00000002718.14|Cse1l	5795	6614	5285	6012
ENSMUSG00000002728.14|Naa20	1101	1350	1276	1444
ENSMUSG00000002731.6|Prkra	303	345	340	335
ENSMUSG00000002732.14|Fkbp7	87	98	80	88
ENSMUSG00000002733.8|Plekha3	617	717	518	559
ENSMUSG00000002741.9|Ykt6	2268	2463	2161	2434
ENSMUSG00000002748.7|Baz1b	5124	5602	4736	5361
ENSMUSG00000002763.16|Pex6	940	942	958	1160
ENSMUSG00000002767.13|Mrpl2	1402	1585	1491	1869
ENSMUSG00000002768.8|Mea1	2904	2660	3102	3581
ENSMUSG00000002771.12|Grin2d	31	29	17	22
ENSMUSG00000002778.14|Kdelr1	1839	1984	1712	1991
ENSMUSG00000002781.19|Tmem143	336	358	418	388
ENSMUSG00000002797.9|Ggct	231	223	286	309
ENSMUSG00000002799.6|Jag2	1318	1446	1432	1617
ENSMUSG00000002803.14|Btbd6	295	312	372	325
ENSMUSG00000002804.4|Nudt14	256	305	347	389
ENSMUSG00000002808.7|Epdr1	732	865	800	906
ENSMUSG00000002812.4|Flii	3277	3504	3163	3615
ENSMUSG00000002814.15|Top3a	534	665	544	642
ENSMUSG00000002820.6|Atg4d	312	330	368	366
ENSMUSG00000002825.8|Qtrt1	737	697	783	914
ENSMUSG00000002831.13|Plin4	90	118	58	62
ENSMUSG00000002833.11|Hdgfl2	2184	2294	1662	1920
ENSMUSG00000002835.9|Chaf1a	2581	2591	1722	1973
ENSMUSG00000002844.9|Adprh	1321	1294	1456	1803
ENSMUSG00000002845.14|Tmem39a	974	1106	1460	1796
ENSMUSG00000002846.9|Timmdc1	842	899	986	1059
ENSMUSG00000002847.7|Pla1a	1209	1174	1020	1136
ENSMUSG00000002870.8|Mcm2	5009	5387	3547	4366
ENSMUSG00000002871.14|Tpra1	863	902	696	864
ENSMUSG00000002881.14|Nab1	4050	4647	4728	4718
ENSMUSG00000002885.14|Adgre5	4048	4233	3184	3705
ENSMUSG00000002897.5|Il17ra	787	789	888	1032
ENSMUSG00000002900.16|Lamb1	8782	8957	8655	10365
ENSMUSG00000002910.11|Arrdc2	85	72	95	106
