symbol	Gcn1_SCR_0pt5mM_A	Gcn1_SCR_0pt5mM_B	Gcn1_SCR_4mM_A	Gcn1_SCR_4mM_B
ENSMUSG00000021973.9|Micu2	1745	2066	2008	2148
ENSMUSG00000021975.8|Ints9	388	418	359	378
ENSMUSG00000021978.9|Extl3	1383	1385	1329	1665
ENSMUSG00000021981.10|Cab39l	788	876	914	958
ENSMUSG00000021982.14|Cdadc1	343	374	326	334
ENSMUSG00000021987.9|Mtmr6	1707	1956	1743	1895
ENSMUSG00000021990.15|Spata13	956	862	1258	1273
ENSMUSG00000021993.10|Mipep	395	447	500	529
ENSMUSG00000021996.16|Esd	9582	10710	7493	8332
ENSMUSG00000021998.16|Lcp1	51	74	35	37
ENSMUSG00000022000.11|Zc3h13	1143	1348	1222	1386
ENSMUSG00000022003.7|Slc25a30	2066	2313	1628	1682
ENSMUSG00000022008.4|Gpalpp1	1530	1702	1306	1395
ENSMUSG00000022009.1|Nufip1	858	1027	946	1047
ENSMUSG00000022010.19|Tsc22d1	16940	19440	18062	19982
ENSMUSG00000022013.4|Dnajc15	207	208	220	265
ENSMUSG00000022016.16|Akap11	2330	2650	2527	2595
ENSMUSG00000022019.16|Tdrd3	477	542	601	667
ENSMUSG00000022020.15|Naa16	471	573	462	448
ENSMUSG00000022021.14|Diaph3	1558	1838	1768	1854
ENSMUSG00000022022.3|Mtrf1	152	165	182	172
ENSMUSG00000022023.6|Wbp4	1181	1418	1047	1185
ENSMUSG00000022024.10|Sugt1	1952	2182	2036	2275
ENSMUSG00000022026.7|Olfm4	414	435	835	843
ENSMUSG00000022031.6|Elp3	1870	1838	2004	2182
ENSMUSG00000022032.14|Scara5	35	30	56	66
ENSMUSG00000022033.9|Pbk	1465	1748	1089	1201
ENSMUSG00000022034.10|Esco2	487	601	299	356
ENSMUSG00000022035.6|Ccdc25	1440	1524	1206	1357
ENSMUSG00000022037.15|Clu	65214	68290	56636	65162
ENSMUSG00000022040.8|Ephx2	813	958	1265	1404
ENSMUSG00000022041.10|Chrna2	33	27	52	64
ENSMUSG00000022043.19|Trim35	4680	5239	4666	5522
ENSMUSG00000022048.8|Dpysl2	292	334	424	409
ENSMUSG00000022051.15|Bnip3l	2982	3571	3177	3325
ENSMUSG00000022052.9|Ppp2r2a	4465	5160	4488	5148
ENSMUSG00000022064.10|Pibf1	286	368	267	300
ENSMUSG00000022066.16|Entpd4b	448	460	495	488
ENSMUSG00000022070.7|Bora	615	678	780	783
ENSMUSG00000022074.6|Tnfrsf10b	1722	1869	1511	1794
ENSMUSG00000022075.7|Rhobtb2	634	624	599	711
ENSMUSG00000022089.9|Bin3	418	443	397	454
ENSMUSG00000022090.10|Pdlim2	255	294	278	294
ENSMUSG00000022091.6|Sorbs3	66	71	63	70
ENSMUSG00000022092.11|Ppp3cc	183	202	267	294
ENSMUSG00000022094.15|Slc39a14	2279	2777	2622	2846
ENSMUSG00000022095.9|Fam160b2	330	354	327	349
ENSMUSG00000022096.14|Hr	377	415	325	412
ENSMUSG00000022098.10|Bmp1	853	968	795	876
ENSMUSG00000022099.17|Dmtn	26	20	33	33
ENSMUSG00000022100.14|Xpo7	3739	4163	3865	4413
ENSMUSG00000022105.6|Rb1	1846	2125	2847	3042
ENSMUSG00000022106.14|Rcbtb2	666	709	737	834
ENSMUSG00000022108.8|Itm2b	14224	16541	11927	13620
ENSMUSG00000022109.6|Med4	623	681	675	706
ENSMUSG00000022110.13|Sucla2	1412	1670	1542	1554
ENSMUSG00000022111.9|Uchl3	1623	1874	1620	1828
ENSMUSG00000022114.5|Spry2	1343	1490	1068	1199
ENSMUSG00000022119.15|Rbm26	2346	2978	2889	3154
ENSMUSG00000022120.4|Rnf219	416	507	478	524
ENSMUSG00000022123.9|Scel	536	697	252	257
ENSMUSG00000022124.15|Fbxl3	1819	2266	2044	2264
ENSMUSG00000022125.7|Cln5	341	437	288	362
ENSMUSG00000022130.10|Tgds	728	793	792	878
ENSMUSG00000022131.3|Gpr180	296	314	297	347
ENSMUSG00000022136.8|Dnajc3	2152	2510	2550	2793
ENSMUSG00000022139.17|Mbnl2	5384	6273	5127	5524
ENSMUSG00000022141.7|Nipbl	3944	4508	4649	5004
ENSMUSG00000022142.8|Nup155	4222	4840	3908	4581
ENSMUSG00000022146.12|Osmr	1870	1933	1720	1901
ENSMUSG00000022150.16|Dab2	82	109	189	201
ENSMUSG00000022151.16|Ttc33	988	1110	1135	1210
ENSMUSG00000022156.8|Gzme	68	82	53	70
ENSMUSG00000022157.8|Mcpt8	1080	1149	1054	1234
ENSMUSG00000022159.16|Rab2b	282	363	279	288
ENSMUSG00000022160.18|Mettl3	831	937	1029	1257
ENSMUSG00000022174.8|Dad1	1390	1377	1286	1529
ENSMUSG00000022175.9|Lrp10	1801	2007	1720	2038
ENSMUSG00000022176.11|Rem2	31	54	39	34
ENSMUSG00000022177.9|Haus4	443	539	331	412
ENSMUSG00000022178.11|Ajuba	3151	3678	2567	3048
ENSMUSG00000022179.5|4931414P19Rik	145	155	155	154
ENSMUSG00000022184.8|Fbxo4	309	352	359	376
ENSMUSG00000022185.19|Acin1	3593	4124	3675	4174
ENSMUSG00000022186.14|Oxct1	3279	3603	4339	4736
ENSMUSG00000022191.16|Drosha	2994	3276	3032	3464
ENSMUSG00000022193.7|Psmb5	3262	3347	3161	3764
ENSMUSG00000022194.15|Pabpn1	2025	2362	1857	2179
ENSMUSG00000022195.7|6030458C11Rik	1089	1456	1140	1305
ENSMUSG00000022197.16|Pdzd2	34	29	28	27
ENSMUSG00000022200.8|Golph3	4515	5396	4645	5068
ENSMUSG00000022201.16|Zfr	5388	6089	6236	6837
ENSMUSG00000022204.9|Ngdn	493	532	526	580
ENSMUSG00000022205.15|Sub1	1691	2013	2028	2044
ENSMUSG00000022210.7|Dhrs4	294	293	316	316
ENSMUSG00000022211.9|Carmil3	29	34	44	46
ENSMUSG00000022214.15|Dcaf11	1002	1084	1018	1159
ENSMUSG00000022216.17|Psme1	1774	2018	2107	2233
ENSMUSG00000022217.14|Emc9	88	114	107	105
ENSMUSG00000022218.16|Tgm1	238	233	179	271
ENSMUSG00000022219.10|Cideb	74	96	98	95
ENSMUSG00000022221.14|Ripk3	416	415	461	546
ENSMUSG00000022223.9|Sdr39u1	441	399	557	630
ENSMUSG00000022226.6|Mcpt2	455	594	428	472
ENSMUSG00000022227.5|Mcpt1	633	661	769	911
ENSMUSG00000022228.14|Zscan26	1885	2143	2268	2410
ENSMUSG00000022234.15|Cct5	13302	14049	15979	18268
ENSMUSG00000022235.15|Cmbl	249	314	352	339
ENSMUSG00000022236.10|Ropn1l	22	29	56	61
ENSMUSG00000022237.17|Ankrd33b	14	13	29	48
ENSMUSG00000022241.6|Tars	8559	9501	10523	11735
ENSMUSG00000022244.7|Amacr	344	404	465	512
ENSMUSG00000022246.14|Rai14	7911	8874	8029	8727
ENSMUSG00000022247.12|Brix1	1940	2182	2213	2397
ENSMUSG00000022248.14|Rad1	667	738	550	598
ENSMUSG00000022253.15|Nadk2	1041	1243	1257	1329
ENSMUSG00000022255.16|Mtdh	8318	9727	8983	9872
ENSMUSG00000022257.4|Laptm4b	2302	2536	2681	3055
ENSMUSG00000022261.6|Sdc2	164	184	236	270
ENSMUSG00000022263.10|Trio	2665	2833	2735	3151
ENSMUSG00000022265.7|Ank	4312	4827	5308	6196
ENSMUSG00000022270.16|Retreg1	2805	3324	2696	3209
ENSMUSG00000022272.17|Myo10	3367	3671	3211	3676
ENSMUSG00000022280.9|Rnf19a	1690	1985	2060	2255
ENSMUSG00000022283.15|Pabpc1	52749	59052	50194	55976
ENSMUSG00000022285.17|Ywhaz	29561	33759	32020	36362
ENSMUSG00000022286.16|Grhl2	51	75	79	109
ENSMUSG00000022292.16|Rrm2b	1270	1494	1834	1932
ENSMUSG00000022295.8|Atp6v1c1	3405	4055	2675	3118
ENSMUSG00000022296.9|Baalc	46	33	22	33
ENSMUSG00000022297.15|Fzd6	581	768	698	788
ENSMUSG00000022299.9|Slc25a32	838	941	1038	1100
ENSMUSG00000022300.10|Dcaf13	1520	1773	1771	1954
ENSMUSG00000022305.13|Lrp12	776	903	949	1051
ENSMUSG00000022306.9|Zfpm2	929	942	1071	1099
ENSMUSG00000022307.16|Oxr1	8587	9714	10369	10822
ENSMUSG00000022312.11|Eif3h	9474	10659	9018	9808
ENSMUSG00000022313.10|Utp23	684	751	741	951
ENSMUSG00000022314.10|Rad21	8601	10079	10333	11226
ENSMUSG00000022322.8|Shcbp1	1041	1191	942	1029
ENSMUSG00000022323.11|Rida	987	1192	748	841
ENSMUSG00000022324.15|Matn2	141	151	229	251
ENSMUSG00000022325.14|Pop1	1302	1477	1558	1639
ENSMUSG00000022329.15|Stk3	1146	1402	1457	1484
ENSMUSG00000022335.17|Zfat	204	191	257	295
ENSMUSG00000022336.3|Eif3e	7517	8953	9174	9773
ENSMUSG00000022337.7|Emc2	1009	1201	1367	1499
ENSMUSG00000022338.8|Eny2	2253	2662	2544	2784
ENSMUSG00000022339.9|Ebag9	805	833	883	971
ENSMUSG00000022346.15|Myc	11373	12997	14438	16381
ENSMUSG00000022350.7|Washc5	5883	6765	4670	5407
ENSMUSG00000022351.14|Sqle	1719	2024	2157	2512
ENSMUSG00000022353.10|Mtss1	2383	2735	3446	3642
ENSMUSG00000022354.4|Ndufb9	3176	3493	3059	3566
ENSMUSG00000022358.7|Fbxo32	535	634	629	600
ENSMUSG00000022359.10|Wdyhv1	503	591	485	532
ENSMUSG00000022360.8|Atad2	5764	7030	4899	5691
ENSMUSG00000022361.14|Zhx1	1033	1231	1126	1233
ENSMUSG00000022364.14|Tbc1d31	2415	2765	2903	3091
ENSMUSG00000022365.6|Derl1	4223	4747	5312	6352
ENSMUSG00000022367.7|Has2	71	98	172	185
ENSMUSG00000022369.13|Mtbp	2086	2335	2368	2746
ENSMUSG00000022370.13|Mrpl13	1983	2247	2120	2226
ENSMUSG00000022377.16|Asap1	3603	3915	3826	4435
ENSMUSG00000022378.14|Fam49b	2148	2476	2679	2797
ENSMUSG00000022382.15|Wnt7b	1348	1566	1637	1821
ENSMUSG00000022385.11|Gtse1	405	494	426	454
ENSMUSG00000022386.12|Trmu	298	336	335	388
ENSMUSG00000022387.17|Brd1	2399	2836	2449	2646
ENSMUSG00000022389.15|Tef	882	931	841	947
ENSMUSG00000022390.11|Zc3h7b	2245	2511	2127	2409
ENSMUSG00000022391.16|Rangap1	4454	4810	4282	5048
ENSMUSG00000022394.14|L3mbtl2	633	617	545	648
ENSMUSG00000022400.9|Rbx1	1263	1381	1300	1497
ENSMUSG00000022401.12|Xpnpep3	728	821	706	814
ENSMUSG00000022403.15|St13	8375	9537	7473	8264
ENSMUSG00000022404.8|Slc25a17	1927	2138	2133	2356
ENSMUSG00000022407.10|Adsl	1987	2085	2002	2192
ENSMUSG00000022408.7|Fam83f	325	373	358	404
ENSMUSG00000022412.14|Mief1	1402	1572	1491	1736
ENSMUSG00000022414.8|Tab1	1034	1010	1204	1533
ENSMUSG00000022415.12|Syngr1	620	607	611	699
ENSMUSG00000022419.16|Deptor	1546	1905	2617	2836
ENSMUSG00000022420.16|Dnal4	525	535	514	584
ENSMUSG00000022421.19|Nptxr	589	603	645	831
ENSMUSG00000022422.13|Dscc1	277	380	193	225
ENSMUSG00000022425.16|Enpp2	261	251	603	642
ENSMUSG00000022426.6|Josd1	1820	2071	1502	1722
ENSMUSG00000022427.4|Tomm22	3108	3422	3364	3664
ENSMUSG00000022428.8|Cby1	331	336	320	369
ENSMUSG00000022433.19|Csnk1e	3961	4264	3298	3641
ENSMUSG00000022434.8|Fam118a	564	561	627	724
ENSMUSG00000022436.16|Sh3bp1	214	250	207	224
ENSMUSG00000022437.7|Samm50	3001	3100	3166	3535
ENSMUSG00000022438.6|Parvb	1732	1764	1427	1623
ENSMUSG00000022439.9|Parvg	11	16	31	34
ENSMUSG00000022440.9|C1qtnf6	33	32	41	51
ENSMUSG00000022442.16|Ttll1	585	628	511	622
ENSMUSG00000022443.17|Myh9	23939	23838	22353	25864
ENSMUSG00000022445.7|Cyp2d26	18	20	36	34
ENSMUSG00000022450.6|Ndufa6	1433	1638	1379	1526
ENSMUSG00000022451.12|Twf1	4098	4688	4259	4533
ENSMUSG00000022452.16|Smdt1	901	1030	1009	1131
ENSMUSG00000022453.8|Naga	837	827	692	816
ENSMUSG00000022454.17|Nell2	23	24	39	35
ENSMUSG00000022462.7|Slc38a2	13570	15721	16804	20095
ENSMUSG00000022463.8|Srebf2	4260	4643	4977	5549
ENSMUSG00000022466.6|Rpap3	771	841	814	798
ENSMUSG00000022469.17|Rapgef3	357	314	347	378
ENSMUSG00000022471.14|Xrcc6	1688	1883	1840	2037
ENSMUSG00000022472.16|Desi1	1414	1672	1462	1660
ENSMUSG00000022474.15|Pmm1	439	411	311	365
ENSMUSG00000022475.19|Hdac7	2192	2266	2033	2183
ENSMUSG00000022476.8|Polr3h	765	808	663	901
ENSMUSG00000022477.13|Aco2	6838	7117	7305	8759
ENSMUSG00000022487.14|Gtsf1	30	36	13	18
ENSMUSG00000022498.16|Txndc11	614	674	769	911
ENSMUSG00000022500.15|Litaf	4340	4412	3514	4107
ENSMUSG00000022503.10|Nubp1	671	703	810	971
ENSMUSG00000022505.9|Emp2	368	387	525	599
ENSMUSG00000022507.6|1810013L24Rik	2140	2428	1896	2074
ENSMUSG00000022508.5|Bcl6	1006	1044	1118	1227
ENSMUSG00000022514.14|Il1rap	64	68	100	117
ENSMUSG00000022515.6|Anks3	640	686	642	759
ENSMUSG00000022516.10|Nudt16l1	284	266	291	296
ENSMUSG00000022517.17|Mgrn1	1125	1175	1109	1338
ENSMUSG00000022519.14|Srl	95	115	96	147
ENSMUSG00000022521.10|Crebbp	1268	1340	1247	1301
ENSMUSG00000022526.8|Zfp251	627	740	502	607
ENSMUSG00000022528.8|Hes1	961	1102	752	841
ENSMUSG00000022529.11|Zfp263	662	766	816	900
ENSMUSG00000022533.14|Atp13a3	6302	7212	6135	6991
ENSMUSG00000022534.14|Mefv	21	23	27	35
ENSMUSG00000022536.14|Glyr1	2596	2707	2860	3223
ENSMUSG00000022537.18|Tmem44	48	46	35	30
ENSMUSG00000022538.20|Lsg1	1439	1583	1615	1768
ENSMUSG00000022540.16|Rogdi	159	172	137	174
ENSMUSG00000022544.14|Eef2kmt	212	213	314	323
ENSMUSG00000022545.13|Ercc4	177	237	217	252
ENSMUSG00000022546.5|Gpt	233	239	244	274
ENSMUSG00000022550.18|Adck5	591	570	603	748
ENSMUSG00000022551.8|Cyc1	3819	3814	4147	4864
ENSMUSG00000022552.16|Sharpin	926	1030	970	1046
ENSMUSG00000022553.16|Maf1	1040	1223	1031	1054
ENSMUSG00000022554.7|Hgh1	624	653	756	848
ENSMUSG00000022555.12|Dgat1	540	538	657	676
ENSMUSG00000022556.11|Hsf1	1615	1750	1503	1709
ENSMUSG00000022557.11|Bop1	2059	2131	2003	2340
ENSMUSG00000022558.16|Mroh1	2395	2450	1860	2175
ENSMUSG00000022559.8|Fbxl6	913	953	921	1098
ENSMUSG00000022560.9|Slc52a2	677	699	788	930
ENSMUSG00000022561.13|Gpaa1	1540	1593	1447	1865
ENSMUSG00000022562.15|Oplah	454	414	372	371
ENSMUSG00000022564.7|Grina	7175	7499	5577	6678
ENSMUSG00000022565.15|Plec	15003	17478	12363	14866
ENSMUSG00000022568.17|Scrib	3844	3912	3647	4390
ENSMUSG00000022570.7|Tsta3	1446	1458	1383	1548
ENSMUSG00000022571.9|Pycrl	734	728	728	859
ENSMUSG00000022574.7|Naprt	193	201	284	317
ENSMUSG00000022575.5|Gsdmd	4405	4387	6425	7017
ENSMUSG00000022583.12|Ly6f	57	53	46	66
ENSMUSG00000022587.14|Ly6e	17513	17617	22711	26750
ENSMUSG00000022594.14|Lynx1	165	178	210	234
ENSMUSG00000022601.11|Zbtb11	1372	1493	1241	1439
ENSMUSG00000022602.14|Arc	71	69	54	84
ENSMUSG00000022604.18|Cep97	220	244	149	197
ENSMUSG00000022607.17|Ptk2	3434	3921	4149	4697
ENSMUSG00000022610.10|Mapk12	851	964	888	955
ENSMUSG00000022614.8|Lmf2	1638	1754	1589	2005
ENSMUSG00000022617.15|Chkb	760	841	590	717
ENSMUSG00000022620.14|Arsa	1186	1246	1098	1331
ENSMUSG00000022621.16|Rabl2	207	205	207	261
ENSMUSG00000022623.16|Shank3	26	33	14	23
ENSMUSG00000022629.17|Kif21a	303	381	329	403
ENSMUSG00000022634.9|Yaf2	1429	1541	1106	1208
ENSMUSG00000022635.9|Zcrb1	963	1174	944	973
ENSMUSG00000022636.13|Alcam	3958	4281	6036	6413
ENSMUSG00000022637.11|Cblb	561	613	528	589
ENSMUSG00000022639.14|Dubr	366	442	501	535
ENSMUSG00000022641.15|Bbx	2346	2549	3332	3538
ENSMUSG00000022656.15|Nectin3	50	49	86	98
ENSMUSG00000022663.3|Atg3	1287	1458	1531	1635
ENSMUSG00000022664.11|Slc35a5	716	894	645	742
ENSMUSG00000022665.15|Ccdc80	38	41	34	50
ENSMUSG00000022668.10|Gtpbp8	470	573	503	530
ENSMUSG00000022671.13|Mzt2	189	179	168	217
ENSMUSG00000022672.8|Prkdc	811	941	675	750
ENSMUSG00000022673.5|Mcm4	3582	4029	2347	3032
ENSMUSG00000022674.15|Ube2v2	1315	1658	1458	1573
ENSMUSG00000022676.7|Snai2	787	957	871	972
ENSMUSG00000022677.15|Fopnl	548	644	611	706
ENSMUSG00000022678.16|Nde1	920	997	1013	1234
ENSMUSG00000022679.13|Mpv17l	94	123	151	201
ENSMUSG00000022680.14|Pdxdc1	2014	2211	2526	2667
ENSMUSG00000022681.15|Ntan1	481	551	590	680
ENSMUSG00000022682.8|Rrn3	1395	1556	1462	1566
ENSMUSG00000022684.15|Bfar	761	830	731	859
ENSMUSG00000022685.9|Parn	939	1029	1033	1119
ENSMUSG00000022698.17|Naa50	7738	9369	7837	8320
ENSMUSG00000022701.18|Ccdc191	333	361	410	488
ENSMUSG00000022702.16|Hira	681	690	644	794
ENSMUSG00000022704.15|Qtrt2	2035	2328	2166	2466
ENSMUSG00000022706.16|Mrpl40	777	817	860	828
ENSMUSG00000022707.16|Gbe1	443	483	621	710
ENSMUSG00000022708.16|Zbtb20	1229	1406	1103	1148
ENSMUSG00000022710.17|Usp7	3129	3726	3692	4128
ENSMUSG00000022711.16|Pmm2	762	755	895	1056
ENSMUSG00000022718.12|Dgcr8	1134	1330	957	1023
ENSMUSG00000022721.19|Trmt2a	793	886	858	957
ENSMUSG00000022722.18|Arl6	204	200	227	267
ENSMUSG00000022723.16|Crybg3	234	249	287	318
ENSMUSG00000022724.15|Riox2	882	1029	1020	1107
ENSMUSG00000022742.6|Cpox	1613	1818	1681	1963
ENSMUSG00000022744.12|Cldnd1	2268	2430	1884	2384
ENSMUSG00000022747.17|St3gal6	4021	4733	5039	5546
ENSMUSG00000022748.8|Cmss1	365	387	389	408
ENSMUSG00000022749.8|Tbc1d23	944	1122	1067	1128
ENSMUSG00000022750.18|Klhl22	1053	1121	1009	1252
ENSMUSG00000022751.9|Nit2	516	575	564	644
ENSMUSG00000022752.9|Tomm70a	6960	8250	7029	7741
ENSMUSG00000022756.17|Slc7a4	27	40	28	28
ENSMUSG00000022757.19|Tfg	3344	3629	4035	4325
ENSMUSG00000022760.17|Thap7	194	241	221	258
ENSMUSG00000022761.12|Lztr1	1220	1373	1091	1189
ENSMUSG00000022763.18|Aifm3	36	34	26	18
ENSMUSG00000022765.10|Snap29	598	684	522	553
ENSMUSG00000022768.17|Ccdc116	18	18	26	32
ENSMUSG00000022769.9|Sdf2l1	297	355	276	394
ENSMUSG00000022770.17|Dlg1	4415	4982	3966	4419
ENSMUSG00000022771.17|Ppil2	1200	1225	1202	1293
ENSMUSG00000022772.12|Senp5	3329	3776	3277	3467
ENSMUSG00000022773.18|Ypel1	35	46	32	28
ENSMUSG00000022774.13|Ncbp2	1064	1222	958	1063
ENSMUSG00000022779.16|Top3b	960	967	985	1133
ENSMUSG00000022780.5|Meltf	34	29	110	94
ENSMUSG00000022781.8|Pak2	5952	7016	6324	6993
ENSMUSG00000022787.10|Wdr53	304	315	268	293
ENSMUSG00000022788.16|Fgd4	336	406	334	342
ENSMUSG00000022789.15|Dnm1l	2444	2901	2805	3024
ENSMUSG00000022791.18|Tnk2	3874	4299	3624	4072
ENSMUSG00000022792.16|Yars2	475	555	441	569
ENSMUSG00000022797.16|Tfrc	6157	6981	6100	7362
ENSMUSG00000022799.4|Arhgap31	46	59	79	82
ENSMUSG00000022800.14|Fyttd1	4083	4881	3791	4012
ENSMUSG00000022801.13|Lrch3	1340	1533	1839	1945
ENSMUSG00000022802.2|Lmln	170	184	148	159
ENSMUSG00000022805.17|Maats1	308	355	321	386
ENSMUSG00000022807.9|Osbpl11	1125	1271	1087	1209
ENSMUSG00000022808.5|Snx4	1842	2167	1921	2073
ENSMUSG00000022811.17|Zfp148	3849	4487	3875	4148
ENSMUSG00000022812.14|Gsk3b	3236	3701	3257	3519
ENSMUSG00000022814.6|Umps	2604	2765	2433	2786
ENSMUSG00000022816.11|Fstl1	102	138	107	110
ENSMUSG00000022817.15|Itgb5	2676	2571	2756	3053
ENSMUSG00000022820.4|Ndufb4	1039	1062	975	1252
ENSMUSG00000022822.16|Abcc5	4258	5015	3072	3432
ENSMUSG00000022824.12|Muc13	139	160	392	414
ENSMUSG00000022827.14|Rabl3	464	518	571	644
ENSMUSG00000022828.10|Gtf2e1	736	878	763	849
ENSMUSG00000022833.7|Ccdc14	457	560	404	485
ENSMUSG00000022836.11|Mylk	753	732	803	874
ENSMUSG00000022837.14|Iqcb1	503	578	481	521
ENSMUSG00000022841.15|Ap2m1	7855	8092	8977	10175
ENSMUSG00000022842.18|Ece2	67	85	84	75
ENSMUSG00000022843.17|Clcn2	393	408	387	461
ENSMUSG00000022844.8|Pdia5	382	418	595	726
ENSMUSG00000022848.8|Dirc2	590	599	567	690
ENSMUSG00000022849.5|Hspbap1	1145	1293	1272	1426
ENSMUSG00000022855.9|Senp2	1503	1842	1611	1711
ENSMUSG00000022856.9|Tmem41a	220	229	203	282
ENSMUSG00000022858.16|Tra2b	2806	3265	3338	3964
ENSMUSG00000022863.15|Btg3	2831	3243	3090	3454
ENSMUSG00000022864.14|D16Ertd472e	626	713	763	802
ENSMUSG00000022865.14|Cxadr	10987	12854	10266	12066
ENSMUSG00000022867.10|Usp25	1174	1408	1394	1589
ENSMUSG00000022871.13|Fetub	74	60	112	100
ENSMUSG00000022876.18|Samsn1	50	48	123	125
ENSMUSG00000022881.15|Rfc4	676	847	637	672
ENSMUSG00000022884.15|Eif4a2	4837	6214	5631	5991
ENSMUSG00000022885.16|St6gal1	1979	2294	2271	2379
ENSMUSG00000022886.5|Prl2a1	71	57	35	46
ENSMUSG00000022887.9|Masp1	300	265	198	237
ENSMUSG00000022889.7|Mrpl39	1165	1310	1251	1403
ENSMUSG00000022890.13|Atp5j	2413	2805	2329	2416
ENSMUSG00000022892.11|App	15338	15379	18686	22393
ENSMUSG00000022893.14|Adamts1	368	363	1012	1076
ENSMUSG00000022895.16|Ets2	4637	4903	6432	7022
ENSMUSG00000022897.15|Dyrk1a	2302	2529	2448	2806
ENSMUSG00000022898.13|Vps26c	1640	1837	1341	1499
ENSMUSG00000022899.9|Slc15a2	48	65	56	69
ENSMUSG00000022905.12|Kpna1	2097	2452	2361	2513
ENSMUSG00000022906.15|Parp9	411	516	619	621
ENSMUSG00000022911.11|Arl13b	810	992	1042	1080
ENSMUSG00000022912.8|Pros1	834	949	1002	1130
ENSMUSG00000022913.16|Psmg1	680	805	833	892
ENSMUSG00000022914.17|Brwd1	1825	2124	1949	2063
ENSMUSG00000022940.17|Pigp	776	890	837	874
ENSMUSG00000022941.8|Ripply3	166	222	183	198
ENSMUSG00000022945.12|Chaf1b	884	959	443	518
ENSMUSG00000022946.10|Dop1b	1154	1231	1468	1715
ENSMUSG00000022947.8|Cbr3	116	127	154	162
ENSMUSG00000022948.16|Setd4	83	116	106	142
ENSMUSG00000022949.9|Clic6	609	661	585	669
ENSMUSG00000022951.16|Rcan1	505	530	396	451
ENSMUSG00000022952.17|Runx1	1919	2270	1982	2289
ENSMUSG00000022956.11|Atp5o	4265	4430	4243	4675
ENSMUSG00000022957.20|Itsn1	1937	2202	1716	1904
ENSMUSG00000022960.13|Donson	843	993	761	829
ENSMUSG00000022961.18|Son	11418	13573	12757	14059
ENSMUSG00000022962.15|Gart	3572	3591	3261	3786
ENSMUSG00000022964.14|Tmem50b	402	466	388	430
ENSMUSG00000022965.8|Ifngr2	2594	2822	3553	3745
ENSMUSG00000022967.13|Ifnar1	2492	2598	2693	3058
ENSMUSG00000022969.13|Il10rb	1619	1699	1928	2213
ENSMUSG00000022971.18|Ifnar2	1334	1449	1642	1796
ENSMUSG00000022972.10|Cfap298	450	591	503	530
ENSMUSG00000022973.18|Synj1	1228	1329	1228	1420
ENSMUSG00000022974.12|Paxbp1	1755	2157	2014	2209
ENSMUSG00000022978.11|Mis18a	455	557	334	389
ENSMUSG00000022982.10|Sod1	5769	6643	5365	5883
ENSMUSG00000022983.16|Scaf4	1432	1662	1686	1907
ENSMUSG00000022992.17|Kansl2	2735	3028	2343	2706
ENSMUSG00000022994.9|Adcy6	4347	4341	3808	4761
ENSMUSG00000022995.16|Enah	2529	2934	2941	3243
ENSMUSG00000022996.15|Wnt10b	80	125	71	91
ENSMUSG00000022999.15|Lmbr1l	552	583	533	643
ENSMUSG00000023000.5|Dhh	429	483	348	377
ENSMUSG00000023004.8|Tuba1b	14816	14405	11652	13956
ENSMUSG00000023007.15|Prpf40b	956	982	895	946
ENSMUSG00000023008.18|Fmnl3	1237	1350	949	1105
ENSMUSG00000023009.14|Nckap5l	131	168	93	125
ENSMUSG00000023010.15|Tmbim6	9446	10319	10740	12567
ENSMUSG00000023015.14|Racgap1	3660	4172	3597	4205
ENSMUSG00000023017.10|Asic1	50	66	42	53
ENSMUSG00000023018.5|Smarcd1	654	674	684	824
ENSMUSG00000023019.12|Gpd1	947	975	1516	1657
ENSMUSG00000023020.2|Cox14	645	805	612	724
ENSMUSG00000023021.15|Cers5	1255	1347	1276	1433
ENSMUSG00000023022.14|Lima1	3161	3601	3519	3824
ENSMUSG00000023025.16|Larp4	4462	5147	4988	5615
ENSMUSG00000023026.16|Dip2b	808	936	841	897
ENSMUSG00000023027.13|Atf1	1749	2143	2145	2187
ENSMUSG00000023030.16|Slc11a2	1611	1593	1640	2010
ENSMUSG00000023031.8|Cela1	165	148	161	178
ENSMUSG00000023032.12|Slc4a8	59	64	106	129
ENSMUSG00000023033.14|Scn8a	402	429	393	446
ENSMUSG00000023034.7|Nr4a1	485	525	415	447
ENSMUSG00000023036.14|Pcdhgc4	373	419	407	470
ENSMUSG00000023039.17|Krt7	15994	16794	16883	19162
ENSMUSG00000023043.7|Krt18	45721	48683	42221	46017
ENSMUSG00000023044.2|Csad	342	379	433	426
ENSMUSG00000023045.13|Soat2	1953	2064	2611	3244
ENSMUSG00000023048.13|Prr13	4024	3852	3080	3556
ENSMUSG00000023050.9|Map3k12	347	411	326	383
ENSMUSG00000023051.11|Tarbp2	726	685	657	775
ENSMUSG00000023055.10|Calcoco1	1869	1861	1533	1812
ENSMUSG00000023064.4|Sncg	21	26	32	30
ENSMUSG00000023066.10|Rttn	692	803	689	803
ENSMUSG00000023067.14|Cdkn1a	1366	1452	1007	1147
ENSMUSG00000023068.16|Nus1	2126	2549	2451	2564
ENSMUSG00000023072.14|Cep89	182	221	231	260
ENSMUSG00000023073.2|Slc10a2	285	340	869	1005
ENSMUSG00000023074.11|Mospd1	407	480	308	362
ENSMUSG00000023075.9|Akirin1	1190	1386	1166	1262
