ensid_gene	gene	fc	log2fc	pvalue	fdr	gsea_ranking_score
ENSMUSG00000000001.4|Gnai3	Gnai3	1.01339177411706	0.0191920234059957	0.731763102227972	0.816481162880859	0.135629492776143
ENSMUSG00000000028.15|Cdc45	Cdc45	-1.38441374922629	-0.469275174730763	6.2690420834359e-06	0.000123736040522389	-5.20279881477699
ENSMUSG00000000056.7|Narf	Narf	-1.04246221588305	-0.0599950940334786	0.445433155178441	0.57848747044729	-0.351217460011586
ENSMUSG00000000058.6|Cav2	Cav2	-1.21571095008116	-0.281800251433449	0.000313513288980024	0.00223945455430352	-3.50374404587512
ENSMUSG00000000078.7|Klf6	Klf6	1.27290551807164	0.348125338588712	5.97291146757082e-06	0.00011986238320928	5.22381392245876
ENSMUSG00000000085.16|Scmh1	Scmh1	-1.02211686629437	-0.0315601598608382	0.750007646238172	0.830631359638432	-0.124934309005476
ENSMUSG00000000088.7|Cox5a	Cox5a	-1.22746184027613	-0.295678174275097	0.000528746589117374	0.00331000896135532	-3.27675242119095
ENSMUSG00000000126.11|Wnt9a	Wnt9a	1.5544444023064	0.636399016838988	0.0162613030361638	0.0466405347431583	1.7888446568513
ENSMUSG00000000127.15|Fer	Fer	-1.00186074471379	-0.00268199269219593	0.966479967855071	0.979906407587245	-0.0148071431255092
ENSMUSG00000000131.15|Xpo6	Xpo6	1.00772929353729	0.0111081395095303	0.850631095185053	0.904416668993388	0.0702587455104878
ENSMUSG00000000134.17|Tfe3	Tfe3	-1.01407342230107	-0.0201621120600404	0.732129303085146	0.816751315576303	-0.135412210393532
ENSMUSG00000000148.17|Brat1	Brat1	-1.07845835161851	-0.108970462939138	0.237153038634221	0.363248371567134	-0.624971306375296
ENSMUSG00000000149.10|Gna12	Gna12	-1.08433405456052	-0.11680928124338	0.102745641424836	0.191701582958895	-0.988236592277116
ENSMUSG00000000154.16|Slc22a18	Slc22a18	-1.17989939195775	-0.238663848645034	0.0953525896474522	0.180803232422398	-1.02066750760669
ENSMUSG00000000159.16|Igsf5	Igsf5	-1.17673918385393	-0.234794592375368	0.153490756688881	0.26029960219105	-0.813917772889619
ENSMUSG00000000167.14|Pih1d2	Pih1d2	-1.1429608582179	-0.192775997933983	0.386692272304677	0.520726721803098	-0.412634506822643
ENSMUSG00000000168.9|Dlat	Dlat	-1.0946853909222	-0.130516303458725	0.0394324335943517	0.0925691847841726	-1.40414641937659
ENSMUSG00000000171.5|Sdhd	Sdhd	-1.16726109965336	-0.223127307439578	0.000921875019385544	0.00508314528024026	-3.03532795320923
ENSMUSG00000000184.12|Ccnd2	Ccnd2	-1.38941445384803	-0.474477010638848	1.22368891903169e-07	7.63500692846076e-06	-6.91232897264705
ENSMUSG00000000194.13|Gpr107	Gpr107	1.0497946124682	0.0701070987888217	0.259086178510422	0.388260619247548	0.586555754736148
ENSMUSG00000000204.16|Slfn4	Slfn4	1.00971841108747	0.0139530122154716	0.91929599131236	0.950886139332274	0.0365446336662986
ENSMUSG00000000223.13|Drp2	Drp2	-1.2115254453727	-0.276824705678656	0.357062760073499	0.491751682980106	-0.447255442268558
ENSMUSG00000000244.17|Tspan32	Tspan32	1.5533596890798	0.635391932473089	0.00639752358759994	0.0225256480424587	2.19398810419879
