ensid_gene	gene	fc	log2fc	pvalue	fdr	gsea_ranking_score
ENSMUSG00000000001.4|Gnai3	Gnai3	1.07756151536457	0.107770231614284	0.0713446356981478	0.12000618090874	1.14663867530721
ENSMUSG00000000028.15|Cdc45	Cdc45	-1.01396848699473	-0.0200128156914579	0.779218979870632	0.833719156623193	-0.108340477648057
ENSMUSG00000000056.7|Narf	Narf	-1.30687673980292	-0.386123077429579	0.000668285466197309	0.0021996541455804	-3.17503798376475
ENSMUSG00000000058.6|Cav2	Cav2	-1.08151783632719	-0.113057458336046	0.0932728780747146	0.150019314385905	-1.030244622222
ENSMUSG00000000078.7|Klf6	Klf6	1.11677736038354	0.159341600247725	0.0173526811662526	0.0362135705332015	1.7606334127609
ENSMUSG00000000085.16|Scmh1	Scmh1	-1.157966176099	-0.211593113183017	0.0688221464249021	0.116360373952859	-1.16227178672883
ENSMUSG00000000088.7|Cox5a	Cox5a	-1.40835442120434	-0.494010442902647	2.23747744190577e-06	1.73981786852815e-05	-5.65024133451718
ENSMUSG00000000126.11|Wnt9a	Wnt9a	1.80583856562564	0.85266892771292	0.0118388474620521	0.0260327558248076	1.92669057508223
ENSMUSG00000000127.15|Fer	Fer	-1.656956260959	-0.728535519921829	3.19888261951734e-08	5.27948405144859e-07	-7.49500169571808
ENSMUSG00000000131.15|Xpo6	Xpo6	1.06218441181228	0.0870342622913203	0.18230320496982	0.259302920381289	0.739205696191583
ENSMUSG00000000134.17|Tfe3	Tfe3	1.14578841981104	0.196340662008589	0.00571688831970554	0.0139309304593568	2.2428402917125
ENSMUSG00000000148.17|Brat1	Brat1	1.01877939840142	0.0268416910649369	0.777132333023656	0.831826003097659	0.109505021600067
ENSMUSG00000000149.10|Gna12	Gna12	-1.23446388826646	-0.303884633985032	0.000695377954621576	0.00227796226513965	-3.15777908175452
ENSMUSG00000000154.16|Slc22a18	Slc22a18	1.35364289464716	0.436847190853469	0.00610473140581367	0.014768966364683	2.21433343926031
ENSMUSG00000000159.16|Igsf5	Igsf5	-1.06310737613544	-0.088287319535683	0.586604436459246	0.668787212973364	-0.231654656796169
ENSMUSG00000000167.14|Pih1d2	Pih1d2	1.45395121719383	0.539978864929308	0.023861134801813	0.0475120712715323	1.62230890574338
ENSMUSG00000000168.9|Dlat	Dlat	-1.32201826618861	-0.402742110550346	8.53842063894412e-06	5.38166800848834e-05	-5.06862245381031
ENSMUSG00000000171.5|Sdhd	Sdhd	1.18822564915366	0.248808836140365	0.000475335504599211	0.00164902049888745	3.32299974540304
ENSMUSG00000000184.12|Ccnd2	Ccnd2	-1.21871135039312	-0.285356466673258	5.12518053556662e-05	0.000247846244268825	-4.29029083188793
ENSMUSG00000000194.13|Gpr107	Gpr107	1.15577671378928	0.20886270837176	0.00314794427554756	0.00831209455235217	2.50197296406278
ENSMUSG00000000204.16|Slfn4	Slfn4	-5.57415031338822	-2.47875190690097	1.94701816647227e-09	5.50116555225247e-08	-8.71062999631671
ENSMUSG00000000223.13|Drp2	Drp2	-2.44130179924587	-1.28765065536545	0.00201452078855807	0.00565411422350595	-2.69582824661292
ENSMUSG00000000244.17|Tspan32	Tspan32	1.73596735916173	0.795739821504621	0.0019764062353081	0.00556859783900477	2.70412378463709
